X-Axis (V),MWT1,MWT2,MWT3,MWT4,MWT5,MWT6,MWT7
0,7.41E-05,6.60E-05,6.88E-05,6.31E-05,6.71E-05,7.11E-05,3.52E-05
0.31622777,5.49E-05,4.32E-05,4.15E-05,2.74E-05,2.57E-05,2.40E-05,4.59E-05
0.4472136,2.04E-05,9.50E-06,2.95E-05,3.02E-05,1.41E-05,2.24E-05,5.14E-05
0.54772256,3.54E-05,3.46E-05,5.03E-05,4.54E-05,3.08E-05,4.57E-05,6.27E-05
0.63245553,5.04E-05,4.73E-05,6.28E-05,5.27E-05,4.44E-05,5.84E-05,7.21E-05
0.70710678,5.99E-05,5.55E-05,7.12E-05,6.40E-05,5.38E-05,6.78E-05,7.61E-05
0.77459667,6.62E-05,6.25E-05,7.78E-05,7.60E-05,6.99E-05,8.40E-05,8.57E-05
0.83666003,7.20E-05,6.75E-05,8.35E-05,8.32E-05,7.87E-05,9.33E-05,0.00010296
0.89442719,7.66E-05,7.26E-05,8.92E-05,9.01E-05,9.19E-05,9.83E-05,0.00011747
0.9486833,8.06E-05,7.71E-05,9.40E-05,9.55E-05,9.95E-05,0.00011314,0.00013
1,8.43E-05,8.09E-05,9.88E-05,0.0001005,0.00010536,0.00012124,0.00013928
1.04880885,8.76E-05,8.49E-05,0.00010296,0.00010536,0.00011091,0.00012806,0.00014697
1.09544512,9.05E-05,8.87E-05,0.00010677,0.00010909,0.00011533,0.00013266,0.00015395
1.14017543,9.38E-05,9.23E-05,0.00011045,0.00011314,0.00011916,0.00014,0.00016031
1.18321596,9.70E-05,9.63E-05,0.00011402,0.00011705,0.00012329,0.00014595,0.00016703
1.22474487,0.0001005,9.96E-05,0.0001179,0.00012083,0.00013038,0.00015199,0.00017464
1.26491106,0.00010392,0.00010344,0.00012247,0.0001249,0.00013638,0.00016125,0.0001833
1.30384048,0.0001077,0.00010724,0.00012728,0.00012884,0.00014422,0.00017205,0.00019365
1.34164079,0.00011225,0.0001118,0.00013342,0.00013416,0.00015297,0.0001852,0.00020543
1.37840488,0.00011576,0.00011705,0.00013964,0.00014248,0.0001631,0.00019975,0.00021909
1.41421356,0.00012,0.00012166,0.00014629,0.00015067,0.00017464,0.00021564,0.00023431
1.44913767,0.0001249,0.00012689,0.00015395,0.00015875,0.00018708,0.00023345,0.00025199
1.4832397,0.00012961,0.00013229,0.00016186,0.00016941,0.00020075,0.00025397,0.00027295
1.51657509,0.00013454,0.00013784,0.00017,0.00018,0.00021541,0.00027677,0.00029783
1.54919334,0.00013964,0.00014318,0.00017833,0.00019053,0.00023152,0.00030332,0.00033015
1.58113883,0.00014457,0.00014866,0.00018682,0.00020174,0.0002492,0.00033466,0.00036878
1.61245155,0.000149,0.00015524,0.00019545,0.00021331,0.00026851,0.00036878,0.00042071
1.64316767,0.00015427,0.00016217,0.00020445,0.00022539,0.00028896,0.00040743,0.0004626
1.67332005,0.00015969,0.00016941,0.00021354,0.0002377,0.00031048,0.00044159,0.00049699
1.70293864,0.00016523,0.00017664,0.00022271,0.0002502,0.00033166,0.00047329,0.00052536
1.73205081,0.00017146,0.00018439,0.00023216,0.0002623,0.00035355,0.000501,0.00054955
1.76068169,0.00017804,0.00019209,0.00024166,0.00027386,0.00037148,0.00052154,0.00056833
1.78885438,0.00018466,0.00020025,0.0002512,0.00028478,0.00038859,0.00054314,0.0005831
1.81659021,0.00019209,0.00020857,0.00026153,0.00029496,0.00040249,0.00055946,0.00059161
1.84390889,0.00019925,0.00021759,0.00027214,0.00030526,0.00041529,0.00057153,0.00059928